type,ccid,seeingnew,extracted,pos,l1,b_image,flag,mag_ref,mag_ref_err,a_ref,b_ref,flux_ratio,ellipticity_ref,nn_dist_renorm,maglim,normalized_fwhm_ref,good_cand_density,min_distance_to_edge_in_new,gauss,amp
0.0,4.0,1.8,1494.0,1.0,5.868079,1.044,3.0,0.0,0.0,0.0,0.0,-1.28668,0.0,575917000.0,1.0,0.0,445.261,543.06,7.55818223798,-0.619239515898
0.0,4.0,1.8,1494.0,1.0,4.19889,0.536,0.0,15.4074,0.0073,1.391,1.329,-0.105608,0.0871578,76910500.0,0.0,1.02381,445.261,306.92,3.49815951144,-0.10207214512
0.0,4.0,1.8,1494.0,1.0,6.753283,0.909,0.0,0.0,0.0,0.0,0.0,20.3354,0.0,159216000.0,1.0,0.0,445.261,304.733,9.60461655963,0.118114047311
1.0,4.0,1.8,1494.0,1.0,9.135556,0.541,0.0,19.5619,0.0685,1.116,1.077,2.58187,0.0686712,78108800.0,0.0,1.00476,445.261,493.256,7.35093020834,2.15060694847
0.0,2.0,1.9,2381.0,1.0,10.898532,0.668,0.0,17.6789,0.0342,3.502,2.569,1.35829,0.461859,67998400.0,0.0,4.39615,707.557,11.83,6.86443938641,1.48361936042
0.0,2.0,2.0,1865.0,1.0,6.333803,0.7,0.0,0.0,0.0,0.0,0.0,16.7864,0.0,116808000.0,1.0,0.0,490.778,531.68,9.68732993519,0.0683508209337
0.0,2.0,2.0,1865.0,1.0,5.077895,0.706,3.0,0.0,0.0,0.0,0.0,-0.8321,0.0,226422000.0,1.0,0.0,490.778,584.87,6.73026440377,-0.366779607283
0.0,2.0,2.0,1865.0,1.0,5.996824,0.55,0.0,15.4619,0.0084,1.76,1.519,-0.00173008,0.255113,49939700.0,0.0,0.969231,490.778,566.67,4.16301194997,-17.2993952976
1.0,2.0,2.0,1865.0,1.0,6.782636,0.9,0.0,16.198,0.012,1.479,1.428,0.544812,0.0677765,317066000.0,0.0,0.911538,490.778,378.03,1.56228026856,33.5976339511
0.0,2.0,2.0,1757.0,1.0,13.302701,0.615,0.0,17.8434,0.0355,2.837,2.129,1.24828,0.436839,74645600.0,0.0,4.1,516.718,19.8,8.98405918847,1.99695682044
0.0,2.0,2.0,1757.0,1.0,7.574125,0.654,3.0,0.0,0.0,0.0,0.0,0.131767,0.0,277287000.0,1.0,0.0,516.718,36.89,9.19719995762,0.636760402659
0.0,2.0,2.0,1757.0,1.0,6.608446,0.807,3.0,13.6897,0.0036,1.611,1.579,-0.320133,0.0393323,276509000.0,0.0,0.965385,516.718,535.0,7.80187334339,-1.11474275658
1.0,2.0,2.0,1757.0,1.0,7.234036,0.864,0.0,16.1988,0.012,1.47,1.429,0.532018,0.0550044,310668000.0,0.0,0.915385,516.718,377.23,1.84568313402,2.91054548854
0.0,4.0,1.8,730.0,1.0,4.369558,0.715,3.0,13.1858,0.0027,2.075,1.933,0.255413,0.132184,1462550000.0,0.0,3.08333,341.094,164.049,3.4493712776,1.36937288397
0.0,4.0,1.8,761.0,1.0,7.789507,0.573,0.0,15.7833,0.0092,1.207,1.194,0.0876559,0.021425,102319000.0,0.0,0.994444,339.814,512.033,4.31138305139,30.5613280668
0.0,4.0,1.8,761.0,1.0,5.790887,0.538,2.0,13.2295,0.0028,3.78,1.936,0.174866,0.737683,451268000.0,0.0,9.01667,339.814,862.347,9.55325447722,1.12681199344
1.0,4.0,1.8,761.0,1.0,8.669534,0.613,0.0,16.6311,0.014,1.171,1.167,0.344249,0.0068201,157467000.0,0.0,0.994444,339.814,320.88,2.88783669852,15.6598932551
0.0,4.0,1.7,1338.0,1.0,5.261315,0.789,2.0,0.0,0.0,0.0,0.0,1.31397,0.0,97361800.0,1.0,0.0,513.804,212.236,5.82208760613,0.110003945353
0.0,4.0,1.7,1338.0,1.0,4.626696,0.689,0.0,0.0,0.0,0.0,0.0,0.873936,0.0,67746400.0,1.0,0.0,513.804,693.96,7.90460753943,0.0704596867245
